S Level,PW Level,Inliers,Homography Det,SVD
29,153,70,44.6503681,6090
52,153,40,0.470964621,346554
65,155,52,11.9018283,33567
45,156,49,10.15409054,15204
2,157,35,0.687928899,77658
52,157,32,2.035779171,61076
73,158,28,22.93710536,21376
3,159,22,0.881757599,45970
50,159,8,24.74813446,13128
7,160,39,3.180717587,16641
16,160,29,6.41587515,44388
19,160,31,1.203914008,72731
61,160,32,6.754087169,143563
62,160,48,64.21932933,28486
73,160,37,3.739671858,99086
15,161,42,1.304945758,22309
25,161,24,14.87155761,70759
